display  D   display_settings.c:191  debug_display_settings           [   0.17395] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17400] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17402] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17404] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17405] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17407] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17409] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17411] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17412] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17414] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17416] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17418] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17419] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17421] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17423] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17425] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17426] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17443] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17446] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17448] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17449] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17451] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17453] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17455] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17456] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17458] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17460] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17462] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17463] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17465] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17467] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17469] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17470] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17472] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17474] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17476] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17477] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
